movie,year,rating,genre,runtime_min,imdb,metascore,votes
Stargate SG-1,1997.0,PG-13,"['Action', ' Adventure', ' Drama']",44.0,8.4,,93412.0
Stargirl,2020.0,PG,"['Action', ' Adventure', ' Crime']",566.0,7.2,,17823.0
WandaVision,2021.0,PG,"['Action', ' Comedy', ' Drama']",350.0,7.9,,317724.0
Fringe,2008.0,PG-13,"['Drama', ' Mystery', ' Sci-Fi']",46.0,8.4,,241011.0
Harley Quinn,2019.0,NC-17,"['Animation', ' Action', ' Adventure']",23.0,8.5,,29338.0
The Hunger Games,2012.0,PG-13,"['Action', ' Adventure', ' Sci-Fi']",142.0,7.2,68.0,912987.0
Land of the Lost,2009.0,PG-13,"['Action', ' Adventure', ' Comedy']",102.0,5.3,32.0,71305.0
Back to the Future,1985.0,PG,"['Adventure', ' Comedy', ' Sci-Fi']",116.0,8.5,87.0,1190526.0
Star Wars: Episode VII - The Force Awakens,2015.0,PG-13,"['Action', ' Adventure', ' Sci-Fi']",138.0,7.8,80.0,925368.0
Don't Look Up,2021.0,R,"['Comedy', ' Drama', ' Sci-Fi']",138.0,7.2,49.0,528109.0
Star Trek: Discovery,2017.0,PG-13,"['Action', ' Adventure', ' Drama']",60.0,7.0,,122455.0
Logan,2017.0,R,"['Action', ' Drama', ' Sci-Fi']",137.0,8.1,77.0,754370.0
Free Guy,2021.0,PG-13,"['Action', ' Adventure', ' Comedy']",115.0,7.1,62.0,362661.0
Halo,2022.0,PG-13,"['Action', ' Adventure', ' Sci-Fi']",60.0,7.1,,58134.0
Arrow,2012.0,PG-13,"['Action', ' Adventure', ' Crime']",42.0,7.5,,430475.0
Ready Player One,2018.0,PG-13,"['Action', ' Adventure', ' Sci-Fi']",140.0,7.4,64.0,432627.0
Mr. Mercedes,2017.0,NC-17,"['Crime', ' Drama', ' Mystery']",60.0,7.8,,22017.0
Lightyear,2022.0,PG,"['Animation', ' Action', ' Adventure']",100.0,6.0,60.0,97296.0
Loki,2021.0,PG-13,"['Action', ' Adventure', ' Fantasy']",53.0,8.2,,308414.0
Jurassic Park,1993.0,PG-13,"['Action', ' Adventure', ' Sci-Fi']",127.0,8.2,68.0,980817.0
Star Trek: Deep Space Nine,1993.0,PG,"['Action', ' Adventure', ' Drama']",45.0,8.1,,63133.0
The Thing,1982.0,R,"['Horror', ' Mystery', ' Sci-Fi']",109.0,8.2,57.0,421083.0
The Matrix Resurrections,2021.0,R,"['Action', ' Sci-Fi']",148.0,5.7,63.0,244610.0
Star Trek: The Original Series,1966.0,PG,"['Action', ' Adventure', ' Sci-Fi']",50.0,8.4,,84065.0
Star Wars: Episode IV - A New Hope,1977.0,PG,"['Action', ' Adventure', ' Fantasy']",121.0,8.6,90.0,1353230.0
Gotham,2014.0,PG-13,"['Action', ' Crime', ' Drama']",42.0,7.8,,229788.0
Solar Opposites,2020.0,NC-17,"['Animation', ' Comedy', ' Sci-Fi']",22.0,8.0,,23650.0
Agents of S.H.I.E.L.D.,2013.0,PG,"['Action', ' Adventure', ' Drama']",45.0,7.5,,216801.0
Avengers: Infinity War,2018.0,PG-13,"['Action', ' Adventure', ' Sci-Fi']",149.0,8.4,68.0,1062046.0
The Prestige,2006.0,PG-13,"['Drama', ' Mystery', ' Sci-Fi']",130.0,8.5,66.0,1320688.0
Avenue 5,2020.0,NC-17,"['Comedy', ' Sci-Fi']",,6.6,,16636.0
The Book of Boba Fett,2021.0,PG-13,"['Action', ' Adventure', ' Sci-Fi']",38.0,7.3,,145698.0
A Clockwork Orange,1971.0,R,"['Crime', ' Sci-Fi']",136.0,8.3,77.0,824387.0
Star Trek: Picard,2020.0,NC-17,"['Action', ' Adventure', ' Drama']",46.0,7.3,,70874.0
The Suicide Squad,2021.0,R,"['Action', ' Adventure', ' Comedy']",132.0,7.2,72.0,344287.0
The Matrix,1999.0,R,"['Action', ' Sci-Fi']",136.0,8.7,73.0,1894939.0
Person of Interest,2011.0,PG-13,"['Action', ' Crime', ' Drama']",43.0,8.5,,175952.0
Meet Cute,2022.0,NC-17,"['Comedy', ' Drama', ' Fantasy']",89.0,5.5,50.0,2487.0
The Dead Don't Die,2019.0,R,"['Comedy', ' Fantasy', ' Horror']",104.0,5.4,53.0,78544.0
Dune: Part Two,2023.0,,"['Action', ' Adventure', ' Drama']",,,,
Ms. Marvel,2022.0,PG,"['Action', ' Adventure', ' Comedy']",271.0,6.2,,98385.0
Spider-Man,2002.0,PG-13,"['Action', ' Adventure', ' Sci-Fi']",121.0,7.4,73.0,811852.0
Aliens,1986.0,R,"['Action', ' Adventure', ' Sci-Fi']",137.0,8.4,84.0,712999.0
Star Wars: The Clone Wars,2008.0,PG,"['Animation', ' Action', ' Adventure']",23.0,8.4,,95303.0
Star Wars: Episode IX - The Rise of Skywalker,2019.0,PG-13,"['Action', ' Adventure', ' Fantasy']",141.0,6.5,53.0,446366.0
Eternal Sunshine of the Spotless Mind,2004.0,R,"['Drama', ' Romance', ' Sci-Fi']",108.0,8.3,89.0,999517.0
Mad Max: Fury Road,2015.0,R,"['Action', ' Adventure', ' Sci-Fi']",120.0,8.1,90.0,992960.0
Futurama,1999.0,PG-13,"['Animation', ' Adventure', ' Comedy']",22.0,8.5,,236682.0
Spiderhead,2022.0,R,"['Action', ' Crime', ' Drama']",106.0,5.4,54.0,53419.0
Weird Science,1985.0,PG-13,"['Comedy', ' Romance', ' Sci-Fi']",94.0,6.6,46.0,89567.0
Donnie Darko,2001.0,R,"['Drama', ' Mystery', ' Sci-Fi']",113.0,8.0,88.0,796970.0
Black Widow,2021.0,PG-13,"['Action', ' Adventure', ' Sci-Fi']",134.0,6.7,67.0,371451.0
Star Trek: Voyager,1995.0,PG,"['Action', ' Adventure', ' Sci-Fi']",44.0,7.8,,69249.0
Invincible,2021.0,NC-17,"['Animation', ' Action', ' Adventure']",50.0,8.7,,133028.0
Guardians of the Galaxy,2014.0,PG-13,"['Action', ' Adventure', ' Comedy']",121.0,8.0,76.0,1167454.0
Avengers: Secret Wars,2025.0,,"['Action', ' Adventure', ' Sci-Fi']",,,,
"Roswell, New Mexico",2019.0,PG-13,"['Drama', ' Romance', ' Sci-Fi']",45.0,6.2,,12958.0
Blade Runner,1982.0,R,"['Action', ' Drama', ' Sci-Fi']",117.0,8.1,84.0,764256.0
Spider-Man: Into the Spider-Verse,2018.0,PG,"['Animation', ' Action', ' Adventure']",117.0,8.4,87.0,518075.0
Metropolis,1927.0,NR,"['Drama', ' Sci-Fi']",153.0,8.3,98.0,174188.0
Armageddon,1998.0,PG-13,"['Action', ' Adventure', ' Sci-Fi']",151.0,6.7,42.0,425455.0
Sonic the Hedgehog 2,2022.0,PG,"['Action', ' Adventure', ' Comedy']",122.0,6.5,47.0,61943.0
Thor: Ragnarok,2017.0,PG-13,"['Action', ' Adventure', ' Comedy']",130.0,7.9,74.0,742563.0
Superman & Lois,2021.0,PG-13,"['Action', ' Adventure', ' Drama']",42.0,7.8,,32170.0
Peacemaker,2022.0,NC-17,"['Action', ' Adventure', ' Comedy']",40.0,8.3,,107035.0
Firestarter,2022.0,R,"['Drama', ' Horror', ' Sci-Fi']",94.0,4.6,32.0,14678.0
Mob Psycho 100,2016.0,PG-13,"['Animation', ' Action', ' Comedy']",24.0,8.6,,30747.0
The Twilight Zone,1959.0,PG,"['Drama', ' Fantasy', ' Horror']",51.0,9.1,,83162.0
The Mist,2007.0,R,"['Horror', ' Sci-Fi', ' Thriller']",126.0,7.1,58.0,310309.0
About Time,2013.0,R,"['Comedy', ' Drama', ' Fantasy']",123.0,7.8,55.0,347792.0
Pantheon,2022.0,PG-13,"['Animation', ' Drama', ' Sci-Fi']",41.0,8.2,,1211.0
Blade,1998.0,R,"['Action', ' Horror', ' Sci-Fi']",120.0,7.1,47.0,273967.0
Firefly,2002.0,PG-13,"['Adventure', ' Drama', ' Sci-Fi']",44.0,9.0,,264686.0
X-Men: Apocalypse,2016.0,PG-13,"['Action', ' Adventure', ' Sci-Fi']",144.0,6.9,52.0,433563.0
28 Days Later...,2002.0,R,"['Drama', ' Horror', ' Sci-Fi']",113.0,7.5,73.0,412979.0
Iron Man,2008.0,PG-13,"['Action', ' Adventure', ' Sci-Fi']",126.0,7.9,79.0,1050284.0
Foundation,2021.0,PG-13,"['Drama', ' Sci-Fi']",60.0,7.4,,58047.0
X-Men,2000.0,PG-13,"['Action', ' Adventure', ' Sci-Fi']",104.0,7.3,64.0,614058.0
Halloween III: Season of the Witch,1982.0,R,"['Horror', ' Mystery', ' Sci-Fi']",98.0,5.1,50.0,53796.0
Predator,1987.0,R,"['Action', ' Adventure', ' Horror']",107.0,7.8,47.0,421627.0
Night Sky,2022.0,PG-13,"['Adventure', ' Drama', ' Fantasy']",55.0,7.4,,16278.0
Divergent,2014.0,PG-13,"['Action', ' Adventure', ' Mystery']",139.0,6.6,48.0,459430.0
Guardians of the Galaxy Vol. 3,2023.0,,"['Action', ' Adventure', ' Comedy']",,,,
Suicide Squad,2016.0,PG-13,"['Action', ' Adventure', ' Fantasy']",123.0,5.9,40.0,682276.0
A Quiet Place,2018.0,PG-13,"['Drama', ' Horror', ' Sci-Fi']",90.0,7.5,82.0,522801.0
Star Wars: Episode VIII - The Last Jedi,2017.0,PG-13,"['Action', ' Adventure', ' Fantasy']",152.0,6.9,84.0,627238.0
Mars Attacks!,1996.0,PG-13,"['Comedy', ' Sci-Fi']",106.0,6.4,52.0,227863.0
Zack Snyder's Justice League,2021.0,R,"['Action', ' Adventure', ' Fantasy']",242.0,8.0,54.0,391528.0
Ex Machina,2014.0,R,"['Drama', ' Sci-Fi', ' Thriller']",108.0,7.7,78.0,542007.0
Dune,1984.0,PG-13,"['Action', ' Adventure', ' Sci-Fi']",137.0,6.3,41.0,162083.0
The Man in the High Castle,2015.0,NC-17,"['Drama', ' Sci-Fi', ' Thriller']",60.0,7.9,,100933.0
The Avengers,2012.0,PG-13,"['Action', ' Adventure', ' Sci-Fi']",143.0,8.0,69.0,1380915.0
The Terminator,1984.0,R,"['Action', ' Sci-Fi']",107.0,8.1,84.0,859302.0
Independence Day,1996.0,PG-13,"['Action', ' Adventure', ' Sci-Fi']",145.0,7.0,59.0,574196.0
X-Men Origins: Wolverine,2009.0,PG-13,"['Action', ' Sci-Fi']",107.0,6.5,40.0,504122.0
Strange World,2022.0,PG,"['Animation', ' Action', ' Adventure']",,,,
Thunderbolts,2024.0,,"['Action', ' Adventure', ' Crime']",,,,
The Adam Project,2022.0,PG-13,"['Action', ' Adventure', ' Comedy']",106.0,6.7,55.0,195304.0
Bill & Ted Face the Music,2020.0,PG-13,"['Adventure', ' Comedy', ' Music']",91.0,5.9,65.0,47559.0
Hot Tub Time Machine,2010.0,R,"['Comedy', ' Sci-Fi']",101.0,6.4,63.0,175724.0
X-Men: Days of Future Past,2014.0,PG-13,"['Action', ' Adventure', ' Sci-Fi']",132.0,7.9,75.0,709873.0
The Fifth Element,1997.0,PG-13,"['Action', ' Adventure', ' Sci-Fi']",126.0,7.6,52.0,472380.0
The Nevers,2021.0,NC-17,"['Action', ' Drama', ' Fantasy']",58.0,7.4,,23604.0
The Faculty,1998.0,R,"['Horror', ' Mystery', ' Sci-Fi']",104.0,6.5,61.0,123963.0
Terminator 2: Judgment Day,1991.0,R,"['Action', ' Sci-Fi']",137.0,8.6,75.0,1089642.0
Captain America: The First Avenger,2011.0,PG-13,"['Action', ' Adventure', ' Sci-Fi']",124.0,6.9,66.0,839261.0
Star Trek,2009.0,PG-13,"['Action', ' Adventure', ' Sci-Fi']",127.0,7.9,82.0,603004.0
Supergirl,2015.0,PG,"['Action', ' Adventure', ' Drama']",43.0,6.2,,123902.0
Under the Skin,2013.0,R,"['Drama', ' Horror', ' Mystery']",108.0,6.3,80.0,144191.0
The Incredible Hulk,2008.0,PG-13,"['Action', ' Adventure', ' Sci-Fi']",112.0,6.6,61.0,490630.0
V for Vendetta,2005.0,R,"['Action', ' Drama', ' Sci-Fi']",132.0,8.2,62.0,1115115.0
Spider-Man: Homecoming,2017.0,PG-13,"['Action', ' Adventure', ' Sci-Fi']",133.0,7.4,73.0,649628.0
2001: A Space Odyssey,1968.0,G,"['Adventure', ' Sci-Fi']",149.0,8.3,84.0,664408.0
Battlestar Galactica,2004.0,PG-13,"['Action', ' Adventure', ' Drama']",44.0,8.7,,165613.0
Blindspot,2015.0,PG-13,"['Action', ' Crime', ' Drama']",42.0,7.3,,73916.0
The Fly,1986.0,R,"['Drama', ' Horror', ' Sci-Fi']",96.0,7.6,79.0,182287.0
Hawkeye,2021.0,PG-13,"['Action', ' Adventure', ' Crime']",339.0,7.5,,177618.0
Shang-Chi and the Legend of the Ten Rings,2021.0,PG-13,"['Action', ' Adventure', ' Fantasy']",132.0,7.4,71.0,374195.0
"I, Frankenstein",2014.0,PG-13,"['Action', ' Fantasy', ' Sci-Fi']",92.0,5.1,30.0,81428.0
Arrival,2016.0,PG-13,"['Drama', ' Mystery', ' Sci-Fi']",116.0,7.9,81.0,687155.0
Captain Marvel,2019.0,PG-13,"['Action', ' Adventure', ' Sci-Fi']",123.0,6.8,64.0,554487.0
Avengers: Age of Ultron,2015.0,PG-13,"['Action', ' Adventure', ' Sci-Fi']",141.0,7.3,66.0,855891.0
Gravity Falls,2012.0,G,"['Animation', ' Action', ' Adventure']",23.0,8.9,,106384.0
Altered Carbon,2018.0,NC-17,"['Action', ' Drama', ' Sci-Fi']",60.0,7.9,,168419.0
Downsizing,2017.0,R,"['Drama', ' Fantasy', ' Sci-Fi']",135.0,5.8,63.0,110894.0
Hellraiser: Bloodline,1996.0,R,"['Horror', ' Sci-Fi']",85.0,5.0,21.0,22110.0
